bucket,DAP,GDD,trtno,trt,rep,year,growthstage,leafarea,rootlength,rootdiam,rootfw,topfw,rootdw,topdw,shoot.root,cotlen,cotwidth,cotthick,cotlen.width
517,15,212.8,2,No grass,12,2016,1,1.06,3.9,0.66,0.004,0.05,0.00135,0.01,4.8,1.5,0.5,,3.03
521,15,212.8,2,No grass,13,2016,1.1,1.15,4.2,0.41,0.003,0.052,0.00134,0.01,4.5,1.7,0.6,,2.80
528,15,212.8,1,Grass,13,2016,1.4,2.6,5.5,0.87,0.021,0.15,0.00134,0.01,7.9,2.4,0.7,,3.64
533,15,212.8,1,Grass,14,2016,1.5,2.99,7.1,0.76,0.032,0.177,0.00195,0.01,7.1,2.8,0.7,,4.07
535,15,212.8,2,No grass,14,2016,1,0.38,4.7,0.49,0.003,0.024,0.00121,0.00,2.8,1.3,0.4,,2.92
542,15,212.8,2,No grass,15,2016,1,0.61,3.5,0.61,0.019,0.028,0.00219,0.01,2.5,1.2,0.5,,2.55
544,15,212.8,1,Grass,15,2016,1,0.73,5.8,0.52,0.016,0.024,0.00255,0.01,2.3,1.2,0.4,,3.29
403,32,494.1,3,Grass,1,2016,7.5,75.98,7.8,4.11,0.262,5.531,0.0245,0.46,18.7,,,,
404,32,494.1,4,Grass-End15DAP,1,2016,3.5,6.86,6.3,1.69,0.079,0.559,0.0049,0.04,8.4,,,,
405,32,494.1,5,Grass-Start15DAP,1,2016,,,,,,,,,,,,,
406,32,494.1,6,No grass,1,2016,8.5,108.04,12.2,6.69,0.695,8.154,0.0657,0.69,10.4,,,,
412,32,494.1,5,Grass-Start15DAP,2,2016,,,,,,,,,,,,,
417,32,494.1,4,Grass-End15DAP,2,2016,9.5,164.62,12.5,6.57,0.939,13.268,0.095,1.36,14.4,,,,
419,32,494.1,3,Grass,2,2016,6.3,100.71,10.3,6.63,0.493,7.102,0.0448,0.64,14.3,,,,
420,32,494.1,6,No grass,2,2016,10.5,125.29,8.6,8.16,0.99,10.707,0.084,0.89,10.6,,,,
421,32,494.1,5,Grass-Start15DAP,3,2016,8,26.87,8.1,3.71,0.218,1.702,0.0155,0.15,9.4,,,,
422,32,494.1,3,Grass,3,2016,6.2,85.84,6.8,5.38,0.437,6.08,0.0375,0.59,15.7,,,,
424,32,494.1,6,No grass,3,2016,7.7,100.55,13.2,4.77,0.624,7.326,0.0602,0.76,12.6,,,,
426,32,494.1,4,Grass-End15DAP,3,2016,6.6,21.88,8.2,4.12,0.221,1.675,0.016,0.15,9.4,,,,
432,32,494.1,4,Grass-End15DAP,4,2016,9.2,131.55,13.5,6.63,0.765,10.432,0.0741,0.94,12.7,,,,
433,32,494.1,3,Grass,4,2016,6.1,55.64,11.5,3.43,0.28,4.065,0.025,0.36,14.2,,,,
436,32,494.1,6,No grass,4,2016,7.1,102.86,12.5,4.43,0.465,7.627,0.0404,0.67,16.5,,,,
438,32,494.1,5,Grass-Start15DAP,4,2016,4,3.77,7,1.72,0.055,0.247,0.0032,0.02,5.3,,,,
441,32,494.1,5,Grass-Start15DAP,5,2016,7.3,85.7,7.6,4.87,0.436,6.173,0.0391,0.52,13.2,,,,
448,32,494.1,6,No grass,5,2016,8.3,111.32,10.7,7.5,0.739,9.351,0.0691,0.87,12.6,,,,
449,32,494.1,4,Grass-End15DAP,5,2016,4.5,25.9,8.4,3.44,0.184,1.68,0.0121,0.14,11.7,,,,
450,32,494.1,3,Grass,5,2016,5.6,41.41,7.3,3.28,0.171,2.641,0.0176,0.26,14.8,,,,
452,32,494.1,6,No grass,6,2016,3.2,6.37,5,1.62,0.056,0.36,0.0037,0.03,8.1,,,,
453,32,494.1,3,Grass,6,2016,,,,,,,,,,,,,
455,32,494.1,5,Grass-Start15DAP,6,2016,6,58.7,10.9,3.13,0.2,3.91,0.0183,0.39,21.5,,,,
458,32,494.1,4,Grass-End15DAP,6,2016,3.6,11.61,7.2,1.86,0.067,0.712,0.0047,0.07,14.3,,,,
462,32,494.1,3,Grass,7,2016,7.4,99.69,13.1,5.77,0.46,6.334,0.0385,0.54,13.9,,,,
468,32,494.1,5,Grass-Start15DAP,7,2016,6.5,58.99,13.4,3.79,0.349,3.903,0.0268,0.36,13.4,,,,
469,32,494.1,6,No grass,7,2016,9.5,183.72,12.7,6.9,1.135,15.001,0.0983,1.43,14.6,,,,
470,32,494.1,4,Grass-End15DAP,7,2016,,,,,,,,,,,,,
473,32,494.1,5,Grass-Start15DAP,8,2016,7.5,111.19,11,6.08,0.694,7.038,0.0604,0.74,12.3,,,,
474,32,494.1,4,Grass-End15DAP,8,2016,5.4,42.66,6.5,3.88,0.219,2.449,0.0183,0.24,13.2,,,,
478,32,494.1,6,No grass,8,2016,9.3,83.05,11.8,4.25,0.472,6.132,0.0361,0.59,16.3,,,,
479,32,494.1,3,Grass,8,2016,5.3,38.75,7,3.04,0.138,2.165,0.0139,0.22,16.0,,,,
482,32,494.1,4,Grass-End15DAP,9,2016,6.2,77.29,9.5,3.98,0.448,5.416,0.0367,0.51,14.0,,,,
486,32,494.1,3,Grass,9,2016,8,146.5,13,6.77,0.79,11.069,0.0658,0.96,14.5,,,,
